MONTH & YEAR,PRINCIPLE BALANCE,PER DAY INTEREST,NO OF DAY IN MONTH,MONTHLY INTEREST,BASIC PRINCIPLE,EMI,SHARES,SAVINGS,C D,CHARGES,SELF CUTTING,TOTAL SOC CUTTING,ACTUAL SOC CUTTING,DIFFERENCE,SHARES,SAVINGS
Apr-21,1233000,338,28,9459,12400,21859,1000,300,500,20,1820,23679,23679,0,124500,
May-21,1220600,334,31,10367,12400,22767,1000,300,500,20,1820,24587,24587,0,125500,
Jun-21,1208200,331,30,9930,12400,22330,1000,300,500,20,1820,24150,24150,0,126500,
Jul-21,1195800,328,31,10156,12400,22556,1000,300,500,20,1820,24376,24376,0,127500,
Aug-21,1183400,324,31,10051,12400,22451,1000,300,500,20,1820,24271,24271,0,128500,
Sep-21,1171000,321,30,9625,12400,22025,1000,300,500,20,1820,23845,23845,0,129500,
Oct-21,1158600,317,31,9840,12400,22240,1000,300,500,20,1820,24060,24060,0,130500,
Nov-21,1146200,314,30,9421,12400,21821,1000,300,500,20,1820,23641,23641,0,131500,
Dec-21,1133800,311,31,9630,12400,22030,1000,300,500,20,1820,23850,23850,0,132500,
Jan-22,1121400,307,31,9524,12400,21924,1000,300,500,20,1820,23744,23744,0,133500,
Feb-22,1109000,304,28,8507,12400,20907,1000,300,500,20,1820,22727,22727,0,134500,
Mar-22,1096600,270,31,8382,12400,20782,1000,300,500,20,1820,22602,22602,0,135500,
Apr-22,1084200,267,30,8020,12400,20420,1000,300,500,20,1820,22240,22252,12,136500,
May-22,1071800,264,31,8193,12400,20593,1000,300,500,20,1820,22413,22428,15,137500,
Jun-22,1059400,261,30,7837,12400,20237,1000,300,500,20,1820,22057,22057,0,138500,
Jul-22,1047000,258,31,8003,12400,20403,1000,300,500,20,1820,22223,22223,0,139500,
Aug-22,1034600,255,31,7908,12400,20308,1000,300,500,20,1820,22128,22131,3,140500,
Sep-22,1022200,252,30,7561,12400,19961,1000,300,500,20,1820,21781,21781,0,141500,
Oct-22,1009800,249,31,7719,12400,20119,1000,300,500,20,1820,21939,21939,0,142500,
Nov-22,997400,246,30,7378,12400,19778,1000,300,500,20,1820,21598,21598,0,143500,
Dec-22,985000,243,31,7529,12400,19929,1000,300,500,20,1820,21749,21749,0,144500,
Jan-23,972600,240,31,7434,12400,19834,1000,300,500,20,1820,21654,21657,3,145500,
Feb-23,960200,237,28,6629,12400,19029,1000,300,500,20,1820,20849,20849,0,146500,
Mar-23,947800,234,31,7245,12400,19645,1000,300,500,20,1820,21465,21465,0,147500,
Apr-23,935400,231,30,6919,12400,19319,1000,300,500,20,1820,21139,21146,7,148500,6679
May-23,923000,228,31,7055,12400,19455,1000,300,500,20,1820,21275,21278,3,149500,6979
Jun-23,910600,225,30,6736,12400,19136,1000,300,500,20,1820,20956,20956,0,150500,4279
Jul-23,898200,221,31,6866,12400,19266,1000,300,500,20,1820,21086,21086,0,151500,4579
Aug-23,885800,218,31,6771,12400,19171,1000,300,500,20,1820,20991,20991,0,152500,4879
Sep-23,873400,215,30,6461,12400,18861,1000,300,500,20,1820,20681,20681,0,153500,5179
Oct-23,861000,212,31,6581,12400,18981,1000,300,500,20,1820,20801,20801,0,154500,5479
Nov-23,848600,209,30,6277,12400,18677,1000,300,500,20,1820,20497,20497,0,155500,5779
Dec-23,836200,206,31,6392,12400,18792,1000,300,500,20,1820,20612,20612,0,156500,6079
Jan-24,823800,203,31,6297,12400,18697,1000,300,500,20,1820,20517,20517,0,157500,6379
Feb-24,811400,200,29,5802,12400,18202,1000,300,500,20,1820,20022,20022,0,158500,6679
Mar-24,799000,197,31,6107,12400,18507,1000,300,500,20,1820,20327,20327,0,159500,6979
Apr-24,786600,194,30,5819,12400,18219,1000,300,500,20,1820,20039,20042,3,160500,7279
